title,price,img_src,link,author,publisher,intro
무협영화를 보는 밤,"11,700원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/214/16321435.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%9D%B4%EC%A2%85%EC%B2%A0&frameFilterType=1&frameFilterValue=491, 이종철,어문학사,"『왕서방과 코끼리 -다각도에서 들여다보는 중국의 면면』 저자가 쓴
소설집 『무협영화를 보는 밤』다양한 글, 즉 논문부터 시작하여 칼럼, 비평, 교양서적, 에세이, 번역서를 써 내려 간 이종철 교수가 소설집으로 독자와 만난다. 무협영화로부터 시작되는 감동과 애환을 이어서, 지금 이 순간을 살아가는 사람들의 삶의 모습을 담아내었다. 작가는 9개의 단편을 통하여 독자가 “재미와 함께 그 안에 시대와 세상을 투영하는 깊이 있는 시선과 감동”을 느끼기를 기대한다."
조지 오웰 동물농장 & 1984 원전 완역본 세트(전2권),"9,810원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/269/16326939.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%A1%B0%EC%A7%80+%EC%98%A4%EC%9B%B0&frameFilterType=1&frameFilterValue=6000003747, 조지 오웰,코너스톤,"〈요즘책방: 책 읽어드립니다〉 방송 도서 《동물농장》 수록
자신의 정치적 신념을 예술로 승화한 작가 조지 오웰의 대표작 2권!
최고의 정치 풍자 소설 《동물농장》과 디스토피아 문학의 고전 《1984》!사회주의와 전체주의를 비판하고 부패한 권력의 속성을 깊이 있게 통찰한 조지 오웰의 대표작 2권을 소개한다. 스탈린 체제하의 러시아를 우화 형식으로 비판한 《동물농장》과 전체주의 사회의 암울한 미래를 현실적으로 그려낸 《1984》는 작가이자 정치 평론가였던 오웰이 자신의 정치적 신념을 예술적으로 녹여낸 작품이"
어제가 없으면 내일도 없다(행복한 탐정 시리즈 5),"15,120원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/130/16313013.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EB%AF%B8%EC%95%BC%EB%B2%A0+%EB%AF%B8%EC%9C%A0%ED%82%A4&frameFilterType=1&frameFilterValue=6000001533, 미야베 미유키,북스피어,"작가 미야베 미유키가 유일하게 시리즈로 구축해온 탐정 캐릭터, 스기무라 사부로의 활약을 담은 현대 미스터리 소설. 전작 ?희망장?에서 조그마한 탐정 사무소를 차린 스기무라 사부로가 마침내 제대로 된 프로 탐정으로 활약하며 여성을 경멸하는 불쾌한 남자들의 번들거리는 욕망을 쫓기 시작한다.

첫 의뢰인은 자살 미수로 입원한 딸과 한 달이 넘도록 연락이 안 돼 고민에 빠진 부인이다. 사위는 장모님 때문에 아내가 자살을 시도했다며 비난하고 병원에서는 배우자의 허락 없이 면회가 어렵다며 가족들의 만남을 가로막는다. 딸은 왜 자"
"연애, 그 당돌함","9,000원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/242/16324200.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%84%9C%EA%B2%BD&frameFilterType=1&frameFilterValue=20549, 서경,로코코,"안정적인 결혼을 꿈꾸는 이민지 생애 첫 맞선 상대는
미모며 인성이며 빼어나다 소문난 엔터테인먼트 대표였다.

[우리, 한 번 더 만나요!]
[바쁩니다. 미안해요.]

작은 오해로 한숨만 쉬다 끝난 맞선이 아쉬워 죽겠다.
포기할 순 없지. 기회를 다시 만드는 수밖에!

화려한 연예인과 극성스러운 어머니를 두어
본의 아니게 여자 보기를 돌같이 하던 유재신.

[그럼, 주말은요? ㅠㅠ]

첫눈에 호감이었지만 나이 차가 많아 정중히 거절했는"
고양이라서 행복해,"11,700원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/249/16324901.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EB%AF%B8%EB%A6%AC%EC%95%94+%ED%94%84%EB%A0%88%EC%8A%AC%EB%9F%AC&frameFilterType=1&frameFilterValue=6000001511, 미리암 프레슬러,한솔수북,"세계적인 작가 미리암 프레슬러가 고양이 키티를 통해 들려주는 삶의 지혜와 철학. 작가는 어린 고양이 키티가 엠마 할머니를 만나, 인생의 지혜를 하나하나 배우며 어른이 되는 과정을 사랑스럽고 흥미진진한 이야기로 엮었다. 이야기 곳곳에 녹아 있는 삶의 지혜는 깊이와 통찰이 있어, 다시 한 번 곱씹게 만드는 힘이 있다.

엠마 할머니를 여사님이라고 부른 키티에게 ‘누구나 자기 이름으로 불릴 권리가 있다.’며 ‘엠마 할머니’로 부르라고 말하는 대목이나, ‘실수할 권리가 있다는 생각으로 실수를 계속하는 것보다야 피하는 것이 여"
파멸일기,"12,600원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/263/16326378.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%9C%A4%EC%9E%90%EC%98%81&frameFilterType=1&frameFilterValue=5000034363, 윤자영,몽실북스,"현직 생명과학을 가르치는 교사이면서 한국추리작가협회 부회장으로 활동 중인 윤자영 작가. 고등학교에서 학생들을 가르치면서 다양한 시도와 여러 장르의 통합으로 융합 수업을 추구하는 작가가 학교를 배경으로 같은 이름을 가진 두 명의 고등학생을 주인공으로 내세워 지극히 현실적이면서도 묵직함을 던져주는 <파멸일기>.

학생들을 대상으로 하는 학원폭력은 날이 갈수록 점점 더 강해지고 교묘해지고 악랄해졌다. 십대의 청소년들의 생각이라고 할 수 없을 만큼 잔인한 방법으로 괴롭힘을 자행한다. 가해자는 자신들이 우위에 있다고"
해녀콩 1,"13,500원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/215/16321574.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%B1%84%EC%A0%95%EC%9A%B4&frameFilterType=1&frameFilterValue=5000020197, 채정운,개미,
"칵테일, 러브, 좀비(안전가옥 쇼-트 2)","9,000원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/248/16324893.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%A1%B0%EC%98%88%EC%9D%80&frameFilterType=1&frameFilterValue=2576125, 조예은 ,안전가옥,"안전가옥 쇼-트 시리즈의 두 번째 책으로, 조예은 작가의 단편집이다. 안전가옥 오리지널 시리즈의 첫 책 《뉴서울파크 젤리장수 대학살》에서 탄탄한 구성의 호러 스릴러를 선보였던 작가의 연출력은 단편집에서 더욱 다양한 색채로 빛을 발한다.
미묘하지만 분명한 폭력을 감내해 왔던 여성 빌런의 탄생을 그린 〈초대〉, 물귀신과 숲귀신 사이의 사랑스러운 이끌림을 담은 〈습지의 사랑〉, 블랙 유머를 통해 가부장제의 이면을 들여다보는 오컬트 좀비물 〈칵테일, 러브, 좀비〉, 제2회 황금가지 타임리프 공모전에서 우수상을 차지한 〈오버랩 나이프"
해녀콩 2,"13,500원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/215/16321576.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%B1%84%EC%A0%95%EC%9A%B4&frameFilterType=1&frameFilterValue=5000020197, 채정운,개미,
한인애국단,"13,500원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/189/16318966.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%A0%95%EB%A7%8C%EC%A7%84&frameFilterType=1&frameFilterValue=5000026726, 정만진,국토,"1900년대 기산도, 나철, 안중근, 우덕순, 이재명의 거사에서부터 1910년대 대한광복회, 1920년대 의열단, 1930년대 임시정부의 의열 투쟁, 그리고 마지막 거사인 1945년 부민관 폭파에 이르기까지 우리나라 독립운동 시기 무장 의열 투쟁 전반을 문학으로 녹여낸 장편소설로, 저자의 독립운동 장편소설 제3편이다. 

제1편은 1910년대 최고의 무장 항일운동 단체 대한광복회를 다룬 <소설 대한광복회>이고, 제2편은 1920년대 최고의 무장 항일운동 단체 의열단을 다룬 <소설 의열단>이다. 이"
